seite_gedruckt	pdf_blatt	dokumenttyp	leistung_ocr	kriterien_ocr	1_Strategische_Planung	2_Vorstudien	3_Projektierung	4_Ausschreibung	5_Realisierung	6_Bewirtschaftung	Behoerden	Auftraggeber	Planer	Nutzer	Betreiber	Umfeld	Perimeter	Gebaeude
47	47	Freiraumkonzept	Ökologische Qualität und Vielfalt, Mikroklimate, Nischen an Gebäuden, standortgerechte Pflanzen	A.6 C.3		x	x			x		E	L		P		x	
47	47	Freiraumkonzept	Baustelle: Schutz erhaltenswerter Lebensräume und Ökosysteme, Bodenschutzkonzept	G.3				x	x		P	E	L				x	
47	47	Freiraumkonzept	Kosteneffizienz: Unterhaltsplanung der Aussen- anlagen, Aufwandoptimierung	A.4 B.7		x	x			x		LE	P		L		x	
47	47	Freiraumkonzept	Bildung informeller Treffpunkte und Nischen (z.B. durch Nutzungsneuftralität)	A.3		x	x			x		E	L	P	P		x	x
47	47	Freiraumkonzept	Differenzierung privater, halböffentlicher, öffentlicher Aussenräume	A.3		x	x			x		E	L	P	P	x	x	x
47	47	Energie- und Medienkonzept	Kompaktheit, Flächenanteil und Orientierung Fenster, Verschattung, sommerl. Wärmeschutz	C.6C.7		x	x					E	L				x	x
47	47	Energie- und Medienkonzept	Definition Energiestandard, Effizienz, Suffizienz, Defi- nition Dämmstandard und Dämmperimeter	B.4C.2C.7		x	x					E	L					x
47	47	Energie- und Medienkonzept	Schachtkonzept zur zugänglichen, vertikalen Medien- führung, kurze Verteilwege	A.6 C.4 C.6 0.7		x	x					E	L					x
47	47	Energie- und Medienkonzept	Nutzung erneuerbarer Energien, Energiekonzepte unter Berücksichtigung des Standortangebots	B.1 B.4 B.5 B.7C.7	x	x	x				P	E	L			x	x	x
47	47	Energie- und Medienkonzept	Definition Raumkonditionen, Klima, Beleuchtung, Behaglichkeit usw.	A.6C.4C.7	x	x					P	E	L		P			x
47	47	Energie- und Medienkonzept	Bevorzugung baulicher Lösungen gegenüber techni- schen Lösungen (Bauteilzyklen)	B.7 C.4		x	x					E	L					x
47	47	Energie- und Medienkonzept	Bestimmung der technischen Ausrüstung (Art und Grad, lowtech/hightech)	A.4B.7C.2 C.4C.6C.7		x	x				P	E	L	P	P			x
47	47	Energie- und Medienkonzept	Lüftungskonzept bezüglich optimaler Raumluft- qualität und angemessener Technisierung	A.4 A.6 B.5 G2C6C7		x	x					E	L	P	P			x
47	47	Energie- und Medienkonzept	Beleuchtungskonzept: Tageslichtnutzung, Kunstlicht- nutzung, Steuerung	A.6C.7		x	x					E	L		P		x	x
47	47	Energie- und Medienkonzept	Bedienungsfreundlichkeit und Robustheit der An- lagen, geeignetes Messkonzept	A.4 B.5 B.7 C.2 C.4C.6		x	x	x		x		E	L	P	P			x
47	47	Energie- und Medienkonzept	Einschluss von Leistungen zur Inbetriebnahme, Wartung, Dokumentation	B.7C7					x	x		E	L		L			x
47	47	Energie- und Medienkonzept	Innovation und Suffizienz: Einbindung Unternehmer- varianten	B5C2C7				x		x		E	L					x
47	47	Energie- und Medienkonzept	Regelmässige Überprüfung, Betriebsoptimierung, Monitoring, Nutzerverhalten, -sensibilisierung	A.AB.7C.7						x		E	L	P	L			x
48	48	Betriebskonzept	Vermietung und Verwaltungsplanung, Vergabe- kriterien, Solidaritätsbeiträge	A.2B.6B.7		x	x			x		LE	P		L	x	x	
48	48	Betriebskonzept	Ertragsrechnung und Mietzinskalkulation mit Berücksichtigung des Erneuerungsfonds	B.4 B.6B.7		x	x			x		LE	P		L	x	x	
48	48	Betriebskonzept	Vermietungs- und Verwaltungskonzepte unter Ein- bezug der Nutzer, Belegungsplanung	A.1 A.2 A.3		x	x			x		LE	P	P	L	x	x	
48	48	Betriebskonzept	Nutzungsvereinbarungen für Räume und Gebrauchs- anweisungen für Geräte	A.2 A.3 A.A A.5		x	x			x		LE	P	P	L		x	x
48	48	Betriebskonzept	Hauswartung, Sicherheitskonzept für Innen- und Aussenanlagen	A.4 A.6						x		LE	P		L	x	x	x
48	48	Betriebskonzept	Regelung der Nutzung der Bauten und Anlagen für Menschen mit Behinderung	A.2 A.4 B.4 C.4			x			x		LE	L	P	L		x	x
48	48	Betriebskonzept	Abfall- und Entsorgungskonzept	E57			x	x		x		E	L		P	x	x	x
48	48	Betriebskonzept	Definition Partizipationsprozess für den Betrieb, Instruktion Gremien Partizipation	A.1A.2A.7 G.2C.7		x				x	P	E	P	P	L	x		
48	48	Betriebskonzept	Anwendung innovativer Betriebskonzepte, Einbin- dung von Suffizienzstrategien in den Betrieb	B.4B.5 C.2 7						x		E	L	P	P	x		
48	48	Betriebskonzept	Berücksichtigung von Dienstleistungen regionaler Unternehmer	A2B.2C2		x		x		x		E	P		L	x		
48	48	Betriebskonzept	Raumbuch mit Angaben zu Nutzungen, Installationen, Materialien	B.7C.2C.7					x	x		E	L		P	x	x	x
48	48	Betriebskonzept	Instandhaltung/-setzung, Wartung, Betrieb: Wartungs- und Serviceverträge, Dokumentation	B.6 B.7 C.4 C.7					x	x		LE	P		L	x	x	x
48	48	Betriebskonzept	Nutzerbefragungen zur Zufriedenheit und Definition Ansprechpersonen/Hauswartung	A.AA.7						x		E		P	L	x	x	x
48	48	Betriebskonzept	Periodische Überprüfung, ggf. Anpassung der Be- triebskonzepte bezüglich Marktfähigkeit	A.1 A.2 A.3 A.4 B.4 B.6						x		E	P		L	x	x	x
48	48	Betriebskonzept	Unterhalt der Mobilitätseinrichtungen, Aussen- anlagen, Gebäude und ggf. Instandsetzung	B:7 51						x		E	P	P	L	x	x	
48	48	Betriebskonzept	Unterhaltsplanung der technischen Anlagen, Betriebs- optimierung, Monitoring, Messkonzepte	B.6B.7 C.1 507		x	x			x		E	L	P	L	x	x	x
48	48	Betriebskonzept	Periodische Überprüfung, ggf. Instandsetzung oder Erneuerung	B:72						x		E	L		L	x	x	x
48	48	Betriebskonzept	Nutzungs- und Betriebskonzepte für gemeinsam genutzte Räume	A.3 A.AB.7 7		x	x			x		LE		P	L	x	x	x
48	48	Betriebskonzept	Dokumentation bauliche und technische Massnahmen	A.4 B.7 C.4 7					x	x		E	L		P	x	x	x
48	48	Betriebskonzept	Einführung und Nachführung verständlich anwend- barer Nutzungs- und Betriebsanleitungen	A.4B.7C.7					x	x		LE	P	P	L	x	x	x
48	48	Betriebskonzept	Erhalt und Steigerung der Standortqualitäten	B.1 B.4 B.7 7						x		E	L	P	L	x		
48	48	Betriebskonzept	Sicherstellung der Nutzungsvielfalt durch Nutzungs- und Betriebskonzepte	A.4 B.3 B.4 E27		x				x		E	P	P	L	x	x	x
48	48	Betriebskonzept	Wirtschaftlichkeitsprüfung des Betriebskonzepts während der Nutzungszeit	B.6B.7						x		LE	P		L	x	x	x
48	48	Betriebskonzept	Fortlaufende Betriebsoptimierung, regelmässige Überprüfung der Energieverbräuche	B7G.7						x		LE	L	P	L	x	x	x
48	48	Betriebskonzept	Aktive Abfallbewirtschaftung im Rahmen der realisierten Entsorgungsinfrastruktur	Ga						x		LE	P		L	x	x	
